,state,district,name,party,office_room,phone,committee,page_link
405,Utah,3rd,"Curtis, John",R,2323 RHOB,(202) 225-7751,Energy and Commerce|Natural Resources,https://curtis.house.gov/
406,Utah,4th,"Owens, Burgess",R,309 CHOB,(202) 225-3011,Education and the Workforce|Transportation and Infrastructure,https://owens.house.gov
407,Vermont,At Large,"Balint, Becca",D,1408 LHOB,(202) 225-4115,Budget|Judiciary,https://balint.house.gov
408,Virginia,1st,"Wittman, Robert",R,2055 RHOB,(202) 225-4261,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China,https://wittman.house.gov/
409,Virginia,2nd,"Kiggans, Jennifer",R,1037 LHOB,(202) 225-4215,Armed Services|Natural Resources|Veterans' Affairs,https://kiggans.house.gov
410,Virginia,3rd,"Scott, Robert",D,2328 RHOB,(202) 225-8351,Budget|Education and the Workforce,https://bobbyscott.house.gov
411,Virginia,4th,"McClellan, Jennifer",D,2417 RHOB,(202) 225-6365,"Armed Services|Science, Space, and Technology",https://mcclellan.house.gov/
412,Virginia,5th,"Good, Bob",R,461 CHOB,(202) 225-4711,Budget|Education and the Workforce,https://good.house.gov
413,Virginia,6th,"Cline, Ben",R,2443 RHOB,(202) 225-5431,Appropriations|Budget|Judiciary|Select Comm on the Strategic Competition US and China,https://cline.house.gov
414,Virginia,7th,"Spanberger, Abigail",D,562 CHOB,(202) 225-2815,Agriculture|Intelligence,https://spanberger.house.gov
415,Virginia,8th,"Beyer, Donald",D,1119 LHOB,(202) 225-4376,Ways and Means,https://beyer.house.gov
416,Virginia,9th,"Griffith, H.",R,2202 RHOB,(202) 225-3861,House Administration|Energy and Commerce,https://morgangriffith.house.gov/
417,Virginia,10th,"Wexton, Jennifer",D,1210 LHOB,(202) 225-5136,Appropriations|Budget,https://wexton.house.gov/
418,Virginia,11th,"Connolly, Gerald",D,2265 RHOB,(202) 225-1492,Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://connolly.house.gov/
419,Virgin Islands,Delegate,"Plaskett, Stacey",D,2059 RHOB,(202) 225-1790,Select Subcommittee on the Weaponization of the Fed Govt|Intelligence,https://plaskett.house.gov/
420,Washington,1st,"DelBene, Suzan",D,2330 RHOB,(202) 225-6311,Ways and Means,https://delbene.house.gov
421,Washington,2nd,"Larsen, Rick",D,2163 RHOB,(202) 225-2605,Transportation and Infrastructure,https://larsen.house.gov
422,Washington,3rd,"Perez, Marie",D,1431 LHOB,(202) 225-3536,Agriculture|Small Business,https://gluesenkampperez.house.gov
423,Washington,4th,"Newhouse, Dan",R,504 CHOB,(202) 225-5816,Appropriations|Select Comm on the Strategic Competition US and China,https://newhouse.house.gov
424,Washington,5th,"Rodgers, Cathy",R,2188 RHOB,(202) 225-2006,Energy and Commerce,https://mcmorris.house.gov/
425,Washington,6th,"Kilmer, Derek",D,1226 LHOB,(202) 225-5916,Appropriations|House Administration,https://kilmer.house.gov
426,Washington,7th,"Jayapal, Pramila",D,2346 RHOB,(202) 225-3106,Education and the Workforce|Judiciary,https://jayapal.house.gov
427,Washington,8th,"Schrier, Kim",D,1110 LHOB,(202) 225-7761,Energy and Commerce,https://schrier.house.gov
428,Washington,9th,"Smith, Adam",D,2264 RHOB,(202) 225-8901,Armed Services,https://adamsmith.house.gov/
429,Washington,10th,"Strickland, Marilyn",D,1708 LHOB,(202) 225-9740,Armed Services|Transportation and Infrastructure,https://strickland.house.gov
430,West Virginia,1st,"Miller, Carol",R,465 CHOB,(202) 225-3452,Ways and Means,https://miller.house.gov/
431,West Virginia,2nd,"Mooney, Alexander",R,2228 RHOB,(202) 225-2711,Financial Services,https://mooney.house.gov/
432,Wisconsin,1st,"Steil, Bryan",R,1526 LHOB,(202) 225-3031,Financial Services|House Administration|Joint Committee of Congress on the Library,https://steil.house.gov
433,Wisconsin,2nd,"Pocan, Mark",D,1026 LHOB,(202) 225-2906,Appropriations,https://pocan.house.gov
434,Wisconsin,3rd,"Van Orden, Derrick",R,1513 LHOB,(202) 225-5506,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://vanorden.house.gov
435,Wisconsin,4th,"Moore, Gwen",D,2252 RHOB,(202) 225-4572,Ways and Means,https://gwenmoore.house.gov
436,Wisconsin,5th,"Fitzgerald, Scott",R,1507 LHOB,(202) 225-5101,Financial Services|Judiciary,https://fitzgerald.house.gov
437,Wisconsin,6th,"Grothman, Glenn",R,1511 LHOB,(202) 225-2476,Budget|Education and the Workforce|Oversight and Accountability,https://grothman.house.gov
438,Wisconsin,7th,"Tiffany, Thomas",R,451 CHOB,(202) 225-3365,Natural Resources|Judiciary,https://tiffany.house.gov/
440,Wyoming,At Large,"Hageman, Harriet",R,1531 LHOB,(202) 225-2311,Select Subcommittee on the Weaponization of the Fed Govt|Natural Resources|Judiciary,https://hageman.house.gov
